id,date,month,category,region,channel,quantity,amount
48,2025-01-20,jan,groceries,north,online,3,93.20
49,2025-01-07,jan,utilities,south,online,3,100.64
50,2025-01-11,jan,groceries,south,in_store,4,113.44
51,2025-01-14,jan,coffee,north,online,2,3.21
52,2025-01-15,jan,electronics,west,online,4,795.42
53,2025-01-16,jan,transport,east,online,2,48.06
54,2025-01-30,jan,groceries,north,online,1,70.23
55,2025-01-23,jan,coffee,south,online,1,11.64
56,2025-01-24,jan,coffee,west,in_store,3,8.22
57,2025-01-02,jan,groceries,north,in_store,4,56.22
58,2025-01-15,jan,transport,north,in_store,4,7.98
59,2025-01-05,jan,utilities,north,in_store,2,385.89
60,2025-01-31,jan,groceries,north,online,5,175.69
61,2025-01-30,jan,transport,north,online,3,72.07
62,2025-01-28,jan,groceries,north,in_store,1,79.18
63,2025-01-15,jan,groceries,north,online,2,197.01
64,2025-01-08,jan,coffee,south,in_store,1,10.67
65,2025-01-24,jan,utilities,north,online,4,198.06
66,2025-01-29,jan,transport,north,in_store,5,57.57
67,2025-01-02,jan,electronics,west,in_store,3,2253.34
68,2025-01-16,jan,electronics,north,in_store,1,1383.30
69,2025-01-24,jan,groceries,east,online,3,182.54
70,2025-01-29,jan,travel,south,in_store,5,2522.34
71,2025-01-24,jan,coffee,south,in_store,1,4.87
72,2025-01-24,jan,coffee,west,online,2,11.01
73,2025-01-23,jan,dining,south,in_store,2,110.82
74,2025-01-29,jan,groceries,south,online,3,56.20
75,2025-01-10,jan,dining,east,in_store,5,54.82
76,2025-01-16,jan,groceries,east,online,5,149.73
77,2025-01-02,jan,transport,north,online,1,33.03
78,2025-01-14,jan,utilities,east,online,1,288.72
79,2025-01-05,jan,groceries,west,in_store,5,147.64
80,2025-01-28,jan,dining,west,in_store,4,156.89
81,2025-01-05,jan,transport,south,in_store,5,51.91
82,2025-01-09,jan,transport,west,in_store,2,71.20
83,2025-01-11,jan,transport,east,in_store,5,72.84
84,2025-01-28,jan,dining,north,in_store,2,15.01
85,2025-01-20,jan,groceries,north,in_store,2,36.94
86,2025-01-04,jan,coffee,east,online,2,10.07
87,2025-01-04,jan,coffee,west,online,4,11.85
88,2025-01-25,jan,transport,south,in_store,2,28.72
89,2025-01-20,jan,dining,south,online,2,135.01
90,2025-01-02,jan,groceries,west,in_store,4,68.13
91,2025-01-25,jan,groceries,east,in_store,3,70.24
92,2025-01-23,jan,rent,west,online,2,1819.74
93,2025-01-27,jan,dining,west,in_store,3,101.45
94,2025-01-29,jan,transport,north,online,2,90.44
95,2025-01-09,jan,coffee,west,in_store,5,13.96
96,2025-01-14,jan,utilities,south,in_store,5,213.27
97,2025-01-05,jan,transport,south,online,4,26.86
98,2025-01-30,jan,dining,west,online,5,153.36
99,2025-01-31,jan,coffee,west,online,2,9.50
100,2025-01-16,jan,groceries,north,in_store,4,208.13
101,2025-01-15,jan,utilities,south,online,1,201.98
102,2025-01-06,jan,groceries,west,in_store,4,154.51
103,2025-01-17,jan,transport,east,in_store,3,71.62
104,2025-01-24,jan,groceries,east,online,1,203.65
105,2025-01-06,jan,groceries,east,in_store,2,219.66
106,2025-01-21,jan,transport,west,online,5,60.54
107,2025-01-24,jan,transport,south,online,5,58.33
108,2025-01-29,jan,dining,west,in_store,5,15.16
109,2025-01-23,jan,coffee,west,in_store,2,11.79
110,2025-01-15,jan,rent,west,in_store,1,2090.91
111,2025-01-20,jan,rent,north,in_store,5,1838.39
112,2025-01-22,jan,dining,east,online,5,177.72
113,2025-01-24,jan,transport,east,online,4,53.66
114,2025-01-09,jan,transport,south,online,1,54.00
115,2025-01-11,jan,groceries,east,in_store,4,205.77
116,2025-01-23,jan,electronics,west,online,3,1265.85
117,2025-01-05,jan,groceries,east,in_store,2,109.14
118,2025-01-20,jan,travel,west,online,4,297.17
119,2025-01-06,jan,groceries,east,online,5,138.11
120,2025-01-02,jan,coffee,south,online,2,4.91
121,2025-01-06,jan,groceries,east,online,5,27.18
122,2025-01-02,jan,coffee,north,online,2,10.92
123,2025-01-01,jan,transport,south,online,5,78.64
124,2025-01-15,jan,coffee,south,online,2,7.99
125,2025-01-27,jan,groceries,west,in_store,5,126.25
126,2025-01-08,jan,groceries,north,in_store,1,184.17
127,2025-01-02,jan,utilities,west,online,4,228.24
128,2025-01-04,jan,coffee,east,online,3,6.58
129,2025-01-09,jan,dining,west,in_store,4,116.44
130,2025-01-13,jan,dining,west,in_store,2,62.05
131,2025-01-30,jan,groceries,south,in_store,1,162.44
132,2025-01-18,jan,electronics,south,online,3,2205.00
133,2025-01-15,jan,groceries,north,online,1,29.36
134,2025-01-28,jan,electronics,south,online,2,522.54
135,2025-01-20,jan,coffee,east,in_store,3,6.71
136,2025-01-22,jan,dining,north,online,2,133.31
137,2025-01-20,jan,electronics,east,online,1,1448.09
138,2025-01-05,jan,coffee,north,in_store,1,9.10
139,2025-01-19,jan,transport,south,online,1,71.25
140,2025-01-10,jan,groceries,east,online,4,73.74
141,2025-01-02,jan,rent,north,online,3,2076.05
142,2025-01-17,jan,electronics,south,in_store,2,637.91
143,2025-01-20,jan,groceries,south,online,1,143.24
144,2025-01-25,jan,coffee,north,online,2,10.53
145,2025-01-30,jan,groceries,north,in_store,2,98.21
146,2025-01-07,jan,dining,east,in_store,2,177.21
147,2025-01-23,jan,groceries,south,online,2,48.27
148,2025-01-03,jan,coffee,east,online,4,11.67
149,2025-01-28,jan,dining,west,online,3,99.29
150,2025-01-04,jan,groceries,north,online,2,137.92
151,2025-01-18,jan,utilities,north,in_store,5,399.90
152,2025-01-22,jan,dining,south,in_store,4,129.83
153,2025-01-04,jan,dining,west,in_store,4,25.49
154,2025-01-05,jan,coffee,north,in_store,5,10.40
155,2025-01-13,jan,transport,south,in_store,1,36.50
156,2025-01-25,jan,coffee,south,in_store,2,11.71
157,2025-01-24,jan,dining,east,online,5,89.19
158,2025-01-08,jan,coffee,south,online,1,10.35
159,2025-01-05,jan,coffee,west,in_store,4,6.03
160,2025-01-31,jan,electronics,west,online,2,1859.50
161,2025-01-12,jan,groceries,east,in_store,1,155.43
162,2025-01-14,jan,dining,east,in_store,5,170.41
163,2025-01-07,jan,dining,south,in_store,3,44.91
164,2025-01-03,jan,coffee,north,online,2,12.75
165,2025-01-30,jan,groceries,east,online,1,15.45
166,2025-01-10,jan,coffee,south,online,5,10.16
167,2025-01-28,jan,groceries,north,online,5,106.41
168,2025-01-23,jan,transport,west,online,4,93.30
169,2025-01-03,jan,groceries,west,in_store,1,166.18
170,2025-01-08,jan,transport,north,in_store,3,54.44
171,2025-01-13,jan,dining,west,online,5,134.79
172,2025-01-24,jan,rent,east,online,1,2483.63
173,2025-01-14,jan,groceries,east,in_store,5,106.53
174,2025-01-11,jan,dining,west,in_store,4,133.93
175,2025-01-08,jan,coffee,south,online,3,8.05
176,2025-01-08,jan,coffee,west,online,2,10.03
177,2025-01-30,jan,electronics,east,in_store,1,264.75
178,2025-01-01,jan,dining,west,in_store,1,67.93
179,2025-01-08,jan,groceries,west,in_store,5,107.74
180,2025-01-01,jan,transport,north,online,5,47.12
181,2025-01-03,jan,dining,north,online,1,55.01
182,2025-01-15,jan,coffee,south,online,5,13.48
183,2025-01-19,jan,groceries,west,online,2,30.79
184,2025-01-22,jan,groceries,west,in_store,5,13.86
185,2025-01-08,jan,dining,north,online,1,154.89
186,2025-01-16,jan,groceries,north,online,2,17.65
187,2025-01-15,jan,transport,west,online,1,43.60
188,2025-01-18,jan,travel,east,in_store,1,951.13
189,2025-01-24,jan,groceries,north,online,4,158.88
190,2025-01-16,jan,groceries,south,in_store,4,199.06
191,2025-01-15,jan,groceries,west,online,5,19.90
192,2025-01-26,jan,transport,south,in_store,5,81.94
193,2025-01-07,jan,coffee,east,online,1,8.37
194,2025-01-27,jan,utilities,south,online,4,237.08
195,2025-01-09,jan,coffee,south,in_store,1,11.15
196,2025-01-18,jan,groceries,north,online,1,215.05
197,2025-01-11,jan,coffee,north,online,2,5.02
198,2025-01-14,jan,dining,south,online,4,80.71
199,2025-01-05,jan,dining,west,in_store,3,150.77
200,2025-01-10,jan,utilities,north,in_store,1,404.93
201,2025-01-14,jan,coffee,south,in_store,1,3.11
202,2025-01-08,jan,utilities,east,in_store,5,302.84
203,2025-01-25,jan,groceries,west,online,2,91.06
204,2025-01-10,jan,transport,south,online,5,11.94
205,2025-01-03,jan,coffee,west,online,2,7.38
206,2025-01-05,jan,groceries,north,in_store,5,127.98
207,2025-01-20,jan,dining,south,in_store,3,126.48
208,2025-01-29,jan,groceries,west,online,1,115.81
209,2025-01-03,jan,coffee,south,online,5,6.76
210,2025-01-04,jan,groceries,east,online,4,31.72
211,2025-01-13,jan,transport,east,online,1,26.85
212,2025-01-14,jan,transport,east,online,2,75.89
213,2025-01-07,jan,dining,north,in_store,2,97.75
214,2025-01-01,jan,utilities,east,online,2,311.02
215,2025-01-02,jan,utilities,west,in_store,2,211.05
216,2025-01-27,jan,groceries,north,in_store,4,64.70
217,2025-01-21,jan,utilities,east,online,4,373.60
218,2025-01-09,jan,coffee,east,in_store,1,6.36
219,2025-01-28,jan,dining,south,in_store,1,41.52
220,2025-01-26,jan,coffee,south,in_store,3,9.25
221,2025-01-09,jan,groceries,east,in_store,3,25.78
222,2025-01-18,jan,dining,south,in_store,3,151.97
223,2025-01-20,jan,groceries,south,online,5,38.17
224,2025-01-18,jan,groceries,west,in_store,3,196.00
225,2025-01-15,jan,groceries,north,in_store,5,73.32
226,2025-01-27,jan,electronics,south,online,2,1667.74
227,2025-01-13,jan,groceries,east,online,4,135.96
228,2025-01-23,jan,electronics,west,in_store,4,1004.62
229,2025-01-31,jan,groceries,west,in_store,5,54.07
230,2025-01-18,jan,dining,south,online,1,133.95
231,2025-01-09,jan,coffee,east,online,4,4.65
232,2025-01-03,jan,utilities,north,in_store,5,309.12
233,2025-01-24,jan,coffee,west,in_store,4,6.93
234,2025-01-20,jan,rent,west,in_store,4,1758.33
235,2025-01-21,jan,groceries,east,in_store,4,94.75
236,2025-01-10,jan,utilities,south,in_store,5,377.49
237,2025-01-23,jan,utilities,south,in_store,1,371.07
238,2025-01-20,jan,electronics,east,online,3,65.49
239,2025-01-19,jan,transport,west,in_store,5,72.95
240,2025-01-26,jan,coffee,east,in_store,3,13.67
241,2025-01-11,jan,utilities,south,in_store,3,123.88
242,2025-01-23,jan,transport,east,online,2,23.23
243,2025-01-27,jan,coffee,south,online,1,13.94
244,2025-01-25,jan,groceries,south,in_store,4,156.62
245,2025-01-25,jan,transport,south,online,1,65.15
246,2025-01-18,jan,dining,south,online,3,12.99
247,2025-01-07,jan,transport,west,online,4,70.09
248,2025-01-20,jan,groceries,north,in_store,5,141.57
249,2025-01-22,jan,groceries,south,in_store,2,141.98
250,2025-01-08,jan,dining,east,in_store,4,166.90
251,2025-01-05,jan,coffee,south,online,3,13.13
252,2025-01-19,jan,dining,east,in_store,3,179.75
253,2025-01-16,jan,utilities,east,in_store,1,84.87
254,2025-01-06,jan,transport,west,in_store,1,86.48
255,2025-01-12,jan,groceries,north,in_store,5,15.46
256,2025-01-28,jan,groceries,south,in_store,3,81.33
257,2025-01-14,jan,rent,west,in_store,2,1292.74
258,2025-01-03,jan,electronics,west,online,5,514.82
259,2025-01-27,jan,groceries,north,online,2,54.84
260,2025-01-13,jan,groceries,south,online,4,137.81
261,2025-01-23,jan,electronics,west,online,2,1854.93
262,2025-01-31,jan,groceries,south,in_store,3,15.67
263,2025-01-28,jan,groceries,south,in_store,4,185.97
264,2025-01-31,jan,travel,north,in_store,2,2924.44
265,2025-01-14,jan,utilities,south,online,3,361.48
266,2025-01-31,jan,coffee,north,in_store,3,4.94
267,2025-01-17,jan,dining,west,online,5,21.72
268,2025-01-19,jan,groceries,north,online,5,88.95
269,2025-01-02,jan,groceries,west,online,3,17.56
270,2025-01-27,jan,dining,west,online,1,43.59
271,2025-01-14,jan,electronics,east,online,5,507.29
272,2025-01-16,jan,electronics,west,online,5,1147.62
273,2025-01-08,jan,groceries,west,online,4,51.71
274,2025-01-25,jan,coffee,south,in_store,1,6.63
275,2025-01-06,jan,groceries,west,online,1,29.61
276,2025-01-29,jan,coffee,west,in_store,4,10.21
277,2025-01-03,jan,groceries,south,in_store,2,79.15
278,2025-01-04,jan,transport,north,online,3,89.73
279,2025-01-12,jan,coffee,east,in_store,5,11.16
280,2025-01-12,jan,utilities,north,online,2,144.79
281,2025-01-06,jan,coffee,north,online,5,10.20
282,2025-01-11,jan,coffee,west,online,5,12.84
283,2025-01-03,jan,groceries,west,in_store,1,160.72
284,2025-01-10,jan,groceries,east,in_store,3,65.86
285,2025-01-04,jan,travel,east,online,5,1005.23
286,2025-01-14,jan,coffee,east,online,1,13.53
287,2025-01-26,jan,coffee,west,online,2,4.65
288,2025-01-03,jan,travel,west,in_store,1,1312.49
289,2025-01-11,jan,coffee,west,online,1,12.90
290,2025-01-03,jan,utilities,north,in_store,2,371.85
291,2025-01-12,jan,transport,west,in_store,4,14.00
292,2025-01-02,jan,groceries,east,online,4,21.84
293,2025-01-22,jan,rent,north,online,2,2382.25
294,2025-01-04,jan,transport,east,in_store,5,55.12
295,2025-01-10,jan,groceries,west,in_store,5,50.36
296,2025-01-17,jan,groceries,east,in_store,5,89.45
297,2025-01-12,jan,groceries,north,in_store,5,37.86
298,2025-01-19,jan,rent,south,in_store,2,2195.87
299,2025-01-29,jan,dining,east,online,1,49.64
300,2025-01-08,jan,groceries,west,online,3,64.03
301,2025-01-02,jan,dining,east,online,2,142.82
302,2025-01-30,jan,groceries,south,online,4,134.66
303,2025-01-24,jan,transport,west,online,2,55.64
304,2025-01-22,jan,utilities,south,in_store,5,173.70
305,2025-01-19,jan,coffee,south,in_store,5,8.00
306,2025-01-30,jan,groceries,west,online,1,65.01
307,2025-01-05,jan,electronics,south,in_store,4,2385.73
308,2025-01-04,jan,electronics,west,in_store,4,1864.96
309,2025-01-26,jan,groceries,west,in_store,1,115.56
310,2025-01-26,jan,dining,north,online,3,91.15
311,2025-01-25,jan,utilities,north,online,5,373.73
312,2025-01-18,jan,rent,north,in_store,4,1448.48
313,2025-01-08,jan,transport,west,online,5,23.80
314,2025-01-30,jan,dining,south,online,4,108.12
315,2025-01-28,jan,dining,east,online,4,164.30
316,2025-01-17,jan,coffee,north,online,5,13.40
317,2025-01-29,jan,transport,west,in_store,5,48.74
318,2025-01-09,jan,utilities,east,in_store,2,298.08
319,2025-01-22,jan,dining,north,in_store,5,149.81
320,2025-01-16,jan,coffee,north,in_store,1,7.00
321,2025-01-17,jan,electronics,east,online,1,1557.48
322,2025-01-29,jan,groceries,south,in_store,5,74.88
323,2025-01-06,jan,transport,south,in_store,2,50.57
324,2025-01-01,jan,groceries,east,online,1,197.12
325,2025-01-16,jan,coffee,west,in_store,5,5.71
326,2025-01-04,jan,groceries,south,in_store,2,64.67
327,2025-01-29,jan,groceries,north,online,1,108.75
328,2025-01-12,jan,groceries,west,online,2,180.73
329,2025-01-13,jan,groceries,north,online,1,197.76
330,2025-01-16,jan,transport,west,online,3,62.20
331,2025-01-18,jan,electronics,south,online,1,2193.46
332,2025-01-13,jan,groceries,south,in_store,5,61.71
333,2025-01-23,jan,coffee,north,in_store,1,12.26
334,2025-01-26,jan,transport,south,online,1,70.18
335,2025-01-21,jan,groceries,east,in_store,2,99.94
336,2025-01-28,jan,dining,south,in_store,1,53.67
337,2025-01-29,jan,groceries,south,in_store,3,13.89
338,2025-01-23,jan,utilities,west,online,4,393.38
339,2025-01-02,jan,dining,south,online,4,78.53
340,2025-01-02,jan,coffee,east,in_store,5,8.36
341,2025-01-10,jan,utilities,south,online,5,335.06
342,2025-01-30,jan,transport,north,in_store,4,46.66
343,2025-01-28,jan,coffee,east,online,3,13.36
344,2025-01-25,jan,electronics,east,online,3,556.86
345,2025-01-14,jan,groceries,south,online,5,211.22
346,2025-01-15,jan,coffee,west,in_store,3,4.89
347,2025-01-06,jan,groceries,west,in_store,3,96.31
348,2025-01-15,jan,rent,west,in_store,2,1364.47
349,2025-01-05,jan,groceries,north,in_store,4,173.97
350,2025-01-05,jan,rent,north,online,3,1678.66
351,2025-01-29,jan,groceries,south,online,2,205.91
352,2025-01-22,jan,coffee,west,in_store,5,10.83
353,2025-01-22,jan,utilities,west,in_store,3,219.11
354,2025-01-02,jan,groceries,north,in_store,1,119.13
355,2025-01-26,jan,travel,east,in_store,4,391.71
356,2025-01-21,jan,coffee,west,in_store,2,7.44
357,2025-01-21,jan,groceries,west,online,1,35.09
358,2025-01-17,jan,coffee,east,in_store,1,5.28
359,2025-01-10,jan,dining,east,online,5,70.75
360,2025-01-09,jan,groceries,north,in_store,3,123.84
361,2025-01-03,jan,transport,east,online,2,12.98
362,2025-01-25,jan,coffee,west,in_store,5,5.81
363,2025-01-06,jan,dining,south,online,5,133.97
364,2025-01-31,jan,transport,east,online,4,2.35
365,2025-01-20,jan,transport,north,online,1,10.44
366,2025-01-28,jan,groceries,south,online,4,82.46
367,2025-01-13,jan,transport,south,in_store,4,70.53
368,2025-01-24,jan,utilities,west,online,4,352.47
369,2025-01-14,jan,groceries,west,online,1,135.42
370,2025-01-25,jan,transport,south,in_store,2,15.13
371,2025-01-26,jan,utilities,east,online,2,121.85
372,2025-01-06,jan,utilities,north,in_store,2,127.54
373,2025-01-09,jan,utilities,south,online,1,216.88
374,2025-01-22,jan,groceries,east,online,1,107.52
375,2025-01-12,jan,coffee,west,online,4,13.15
376,2025-01-13,jan,groceries,south,online,1,152.82
377,2025-01-28,jan,utilities,north,in_store,1,246.22
378,2025-01-25,jan,utilities,south,in_store,2,288.20
379,2025-01-27,jan,travel,south,online,5,420.25
380,2025-01-22,jan,groceries,south,online,3,52.99
381,2025-01-29,jan,groceries,west,in_store,1,54.91
382,2025-01-19,jan,transport,west,in_store,2,36.75
383,2025-01-10,jan,coffee,south,online,4,4.71
384,2025-01-04,jan,coffee,west,online,2,6.84
385,2025-01-18,jan,dining,west,in_store,5,174.39
386,2025-01-07,jan,transport,west,in_store,3,61.22
387,2025-01-16,jan,travel,west,online,4,2161.89
388,2025-01-31,jan,transport,east,in_store,3,57.77
389,2025-01-21,jan,transport,east,online,1,83.40
390,2025-01-07,jan,coffee,east,in_store,2,9.63
391,2025-01-07,jan,groceries,east,online,3,88.41
392,2025-01-26,jan,transport,west,online,3,40.24
393,2025-01-30,jan,transport,east,in_store,1,19.71
394,2025-01-17,jan,groceries,south,online,4,217.76
395,2025-01-20,jan,utilities,west,in_store,5,333.39
396,2025-01-21,jan,groceries,north,in_store,5,207.15
397,2025-01-22,jan,dining,east,in_store,1,136.80
398,2025-01-02,jan,transport,south,in_store,2,41.27
399,2025-01-08,jan,transport,west,online,5,31.43
400,2025-01-10,jan,transport,south,in_store,2,37.13
401,2025-01-30,jan,groceries,east,online,2,100.16
402,2025-01-24,jan,travel,north,online,3,2151.65
403,2025-01-31,jan,dining,east,in_store,3,13.07
404,2025-01-13,jan,dining,east,online,5,165.10
405,2025-01-28,jan,groceries,south,in_store,5,217.87
406,2025-01-26,jan,coffee,north,in_store,2,4.84
407,2025-01-14,jan,groceries,south,in_store,5,209.91
408,2025-01-01,jan,coffee,south,in_store,2,13.47
409,2025-01-13,jan,groceries,east,online,1,67.74
410,2025-01-15,jan,travel,west,online,5,182.12
411,2025-01-15,jan,coffee,east,online,1,11.92
412,2025-01-07,jan,transport,north,online,1,63.58
413,2025-01-14,jan,travel,north,in_store,3,2708.56
414,2025-01-05,jan,utilities,north,online,4,210.72
415,2025-01-19,jan,groceries,north,in_store,1,115.00
416,2025-01-15,jan,groceries,north,in_store,2,201.79
417,2025-01-07,jan,groceries,east,online,1,96.88
418,2025-01-24,jan,coffee,west,online,2,5.65
419,2025-01-19,jan,dining,south,in_store,5,68.83
420,2025-01-02,jan,coffee,west,online,2,5.41
421,2025-01-29,jan,utilities,east,in_store,3,178.35
422,2025-01-12,jan,groceries,west,online,4,27.23
423,2025-01-12,jan,electronics,west,in_store,2,885.90
424,2025-01-14,jan,dining,west,in_store,3,27.59
425,2025-01-17,jan,transport,west,in_store,1,9.01
426,2025-01-29,jan,coffee,north,online,5,3.92
427,2025-01-23,jan,utilities,south,in_store,4,305.82
428,2025-01-18,jan,dining,west,online,5,90.35
429,2025-01-15,jan,groceries,west,online,5,13.69
430,2025-01-04,jan,utilities,east,online,3,201.10
431,2025-01-26,jan,transport,south,online,4,7.74
432,2025-01-09,jan,coffee,west,online,1,3.95
433,2025-01-23,jan,groceries,north,in_store,5,75.44
434,2025-01-11,jan,electronics,north,in_store,4,1694.91
435,2025-01-13,jan,transport,west,online,1,34.41
436,2025-01-06,jan,coffee,north,in_store,2,3.97
437,2025-01-30,jan,coffee,east,online,4,12.05
438,2025-01-24,jan,coffee,north,online,2,7.94
439,2025-01-03,jan,electronics,east,in_store,3,1658.38
440,2025-01-14,jan,transport,east,in_store,2,49.43
441,2025-01-22,jan,dining,west,online,4,110.44
442,2025-01-03,jan,dining,north,online,4,117.54
443,2025-01-30,jan,dining,north,in_store,4,26.76
444,2025-01-11,jan,transport,north,in_store,5,85.14
445,2025-01-24,jan,dining,south,online,5,75.20
446,2025-01-12,jan,groceries,south,online,1,171.26
447,2025-01-08,jan,coffee,west,in_store,3,8.58
448,2025-01-18,jan,transport,west,in_store,5,5.10
449,2025-01-11,jan,groceries,east,in_store,2,113.85
450,2025-01-31,jan,coffee,south,online,2,13.98
451,2025-01-20,jan,dining,north,online,2,19.38
452,2025-01-24,jan,coffee,east,in_store,1,10.59
453,2025-01-29,jan,coffee,north,online,5,12.76
454,2025-01-25,jan,dining,west,online,1,98.00
455,2025-01-28,jan,dining,north,in_store,2,16.46
456,2025-01-23,jan,transport,east,online,3,19.24
457,2025-01-14,jan,groceries,east,online,4,167.03
458,2025-01-20,jan,utilities,south,online,3,416.70
459,2025-01-28,jan,dining,west,online,1,28.68
460,2025-01-05,jan,groceries,south,online,4,184.07
461,2025-01-26,jan,groceries,south,in_store,5,204.06
462,2025-01-07,jan,groceries,south,in_store,2,172.95
463,2025-01-29,jan,utilities,south,in_store,2,343.44
464,2025-01-04,jan,groceries,west,online,5,112.50
465,2025-01-07,jan,utilities,south,in_store,2,295.89
466,2025-01-12,jan,coffee,north,in_store,3,4.58
467,2025-01-24,jan,groceries,east,online,3,25.96
468,2025-01-05,jan,transport,north,in_store,4,24.45
469,2025-01-12,jan,utilities,north,online,3,411.40
470,2025-01-16,jan,groceries,west,in_store,5,42.03
471,2025-01-11,jan,groceries,east,online,4,14.31
472,2025-01-01,jan,electronics,south,in_store,4,454.63
473,2025-01-11,jan,groceries,south,in_store,1,182.43
474,2025-01-13,jan,coffee,south,online,4,3.26
475,2025-01-21,jan,utilities,west,in_store,1,143.05
476,2025-01-11,jan,electronics,south,in_store,2,1229.77
477,2025-01-18,jan,dining,east,online,3,96.80
478,2025-01-01,jan,utilities,east,in_store,4,163.23
479,2025-01-05,jan,groceries,west,online,4,54.42
480,2025-01-11,jan,dining,north,in_store,1,112.26
481,2025-01-24,jan,groceries,south,online,1,186.11
482,2025-01-24,jan,transport,west,online,2,48.07
483,2025-01-24,jan,utilities,south,in_store,4,193.22
484,2025-01-05,jan,dining,west,in_store,2,156.62
485,2025-01-04,jan,travel,south,in_store,5,1756.55
486,2025-01-22,jan,groceries,north,online,5,174.94
487,2025-01-25,jan,groceries,west,in_store,2,201.67
488,2025-01-14,jan,groceries,south,in_store,2,93.99
489,2025-01-08,jan,transport,north,online,1,61.40
490,2025-01-02,jan,groceries,north,in_store,3,205.22
491,2025-01-22,jan,groceries,east,in_store,5,26.90
492,2025-01-15,jan,coffee,south,in_store,5,13.32
493,2025-01-03,jan,transport,west,in_store,1,45.79
494,2025-01-05,jan,utilities,east,online,5,139.16
495,2025-01-02,jan,utilities,south,in_store,4,284.19
496,2025-01-01,jan,coffee,south,online,1,4.14
497,2025-01-16,jan,transport,north,online,3,92.35
498,2025-01-26,jan,coffee,west,online,2,7.31
499,2025-01-14,jan,coffee,south,in_store,4,12.73
500,2025-01-01,jan,electronics,north,in_store,2,1577.90
501,2025-01-22,jan,coffee,east,in_store,4,12.67
502,2025-01-21,jan,groceries,east,in_store,4,170.58
503,2025-01-12,jan,transport,north,online,4,37.70
504,2025-01-10,jan,coffee,east,online,2,11.54
505,2025-01-26,jan,groceries,east,online,3,128.80
506,2025-01-08,jan,coffee,south,online,2,12.21
507,2025-01-28,jan,groceries,west,in_store,1,54.99
508,2025-01-22,jan,dining,east,in_store,2,114.17
509,2025-01-24,jan,utilities,east,online,5,104.85
510,2025-01-20,jan,utilities,north,online,5,86.31
511,2025-01-11,jan,dining,west,online,4,119.28
512,2025-01-31,jan,groceries,east,online,3,81.35
513,2025-01-20,jan,electronics,west,in_store,4,1866.75
514,2025-01-03,jan,groceries,west,online,2,18.43
515,2025-01-11,jan,dining,north,in_store,2,107.94
516,2025-01-17,jan,groceries,west,online,5,54.75
517,2025-01-02,jan,coffee,west,online,3,4.35
518,2025-01-20,jan,coffee,west,online,5,7.68
519,2025-01-29,jan,dining,south,in_store,3,113.70
520,2025-01-17,jan,dining,west,online,1,102.71
521,2025-01-29,jan,coffee,north,online,4,4.29
522,2025-01-22,jan,groceries,north,online,2,51.22
